index,address,amount
247,0x2FFd3eF6787f3a7b613cf1C4d2EbCC3E4eF22401,170
248,0x30f18b46533DaA3BF575073EDb3d07Afbb209faF,170
249,0x35aF660fCD1F51eBD4c9BF86D418487815373Fa1,170
250,0x3a93335715cD7e0b3DdD9c72A13F82F365D15472,170
251,0x3f9459eb99fc4A70c7791Fa655f7401075FD0DbF,170
252,0x4dAE4AA5bf8f4326cd0EdaE5519BdC1cc917D65d,170
253,0x6EFFb53eDA95c5B7bD46E97973d8A558E605890a,170
254,0x73063fDFDa3Ce7ce52EB5b0662C9B3888A191DD1,170
255,0x732b637c2267c331e8a56f1699235187d1e12068,170
256,0x77c63e24294285b0Ba765172645649219Bf050Fe,170
257,0x8e29d26155C6e7acb597495dfCf4A8831Ed57C41,170
258,0x8E9B706E42aA17B801a94c4c36Bb3F2Aeb06c7E4,170
259,0xA898889607304c408B5C955c83092524B1792CFF,170
260,0xa9e3459F5A8E49c8Ad69f3f9a091Ff0970FC7C03,170
261,0xc3CdC38216A7a52DdD127c67c2C182Af4fFFD7D3,170
262,0xd23CF61533dDF399948A9CD3C9BE2cd696686C14,170
263,0xee8B0E620AcfF5eE9DA09313066c2e12a4153Dc4,170
264,0xFf530556c3855F9f6Ca4834d8e6D7202c011EF1B,170
265,0x13688fBa727bcEA50fE717A4fA0521Fe2c642AEd,165
266,0x25bB406BFe7e78D0cb6A2F3C9d4E634c379c0F5D,165
267,0x3DCdaCff244119756108E8282F2ed0dD1eeCD281,165
268,0x4D12A2733F99159c95634669AF86D8Ea91BB6E10,165
269,0x51310aee2d9F0B18abAC9f4262994e5f4Def17d6,165
270,0x58a97804C16983dB7387B154293373A43a720F9e,165
271,0x5b7f18C219088bC67f454c15Cc294705DF05C4d1,165
272,0x5E7765D3585058C7ad2BD69008Cc551FbCD0EC20,165
273,0x63d0065354CF80f33c2Fe039A764a53a3eAC3a7C,165
274,0x649794981E749c10692685fd2Cf1BfcEaB145210,165
275,0x8EE1D6F7C3B7fcb09e820F2F4B797Ee062f55ADA,165
276,0x958f4B9ab2BaaBdc3405aFd9D43d46B5504c34F3,165
277,0x9b979f38CC59F43405C0d35D09af34d1Ba03A746,165
278,0xA03F4D698a147014c812CfE7ae38085647B631a4,165
279,0xc07a01DAca156Abf2C173bD203dDA2351fc24678,165
280,0xc6A9727c6651bF43163228FEc86F0966b7C55A35,165
281,0xcB868d3168cbB104C8DcCe1f4d1EC36fFA4d888c,165
282,0xfbA4F88DFA6de3Dafd7BAFdb527d36EbA840CC05,165
283,0x07EFD0E343D8d6c6Ebfba7F2E6004a51bb4cEAA5,160
284,0x1A174E52C5750B168674c01bf0cc49cFfA51482E,160
285,0x35D2001cD8145f0b25dE8A714a40eFABB79FE34e,160
